id,materialType,materialId,materialName,lotNo,content,type,quantity,unit,balanceAfter,batchNo,batchId,note,createdBy,createdAt
tx_h031,raw,rm_h011,황산,S-2026-H01,,출고,500,L,100,,,이력 데이터,admin,2026-01-20T00:00:00.000Z
tx_h032,raw,rm_h012,황산,S-2026-H02,,입고,500,L,500,,,이력 데이터,admin,2026-02-05T00:00:00.000Z
tx_h033,raw,rm_h012,황산,S-2026-H02,,출고,480,L,20,,,이력 데이터,admin,2026-02-20T00:00:00.000Z
tx_h034,raw,rm_h013,황산,S-2026-H03,,입고,700,L,700,,,이력 데이터,admin,2026-03-05T00:00:00.000Z
tx_h035,raw,rm_h013,황산,S-2026-H03,,출고,650,L,50,,,이력 데이터,admin,2026-03-20T00:00:00.000Z
tx_h036,raw,rm_h014,황산,S-2026-H04,,입고,400,L,400,,,이력 데이터,admin,2026-04-05T00:00:00.000Z
tx_h037,raw,rm_h014,황산,S-2026-H04,,출고,380,L,20,,,이력 데이터,admin,2026-04-20T00:00:00.000Z
tx_h038,raw,rm_h015,황산,S-2026-H05,,입고,550,L,550,,,이력 데이터,admin,2026-05-05T00:00:00.000Z
tx_h039,raw,rm_h015,황산,S-2026-H05,,출고,520,L,30,,,이력 데이터,admin,2026-05-20T00:00:00.000Z
tx_h040,sub,sm_h010,실링패드,L-2026-H01,,입고,30,kg,30,,,이력 데이터,admin,2026-01-07T00:00:00.000Z
tx_h041,sub,sm_h010,실링패드,L-2026-H01,,출고,22,kg,8,,,이력 데이터,admin,2026-01-22T00:00:00.000Z
tx_h042,sub,sm_h011,실링패드,L-2026-H02,,입고,25,kg,25,,,이력 데이터,admin,2026-02-07T00:00:00.000Z
tx_h043,sub,sm_h011,실링패드,L-2026-H02,,출고,20,kg,5,,,이력 데이터,admin,2026-02-22T00:00:00.000Z
tx_h044,sub,sm_h012,실링패드,L-2026-H03,,입고,35,kg,35,,,이력 데이터,admin,2026-03-07T00:00:00.000Z
tx_h045,sub,sm_h012,실링패드,L-2026-H03,,출고,30,kg,5,,,이력 데이터,admin,2026-03-22T00:00:00.000Z
tx_h046,sub,sm_h013,실링패드,L-2026-H04,,입고,20,kg,20,,,이력 데이터,admin,2026-04-07T00:00:00.000Z
tx_h047,sub,sm_h013,실링패드,L-2026-H04,,출고,18,kg,2,,,이력 데이터,admin,2026-04-22T00:00:00.000Z
tx_h048,sub,sm_h014,실링패드,L-2026-H05,,입고,28,kg,28,,,이력 데이터,admin,2026-05-07T00:00:00.000Z
tx_h049,sub,sm_h014,실링패드,L-2026-H05,,출고,25,kg,3,,,이력 데이터,admin,2026-05-22T00:00:00.000Z
tx_h050,sub,sm_h015,활성탄,L-2026-H11,,입고,80,kg,80,,,이력 데이터,admin,2026-01-07T00:00:00.000Z
tx_h051,sub,sm_h015,활성탄,L-2026-H11,,출고,60,kg,20,,,이력 데이터,admin,2026-01-22T00:00:00.000Z
tx_h052,sub,sm_h016,활성탄,L-2026-H12,,입고,60,kg,60,,,이력 데이터,admin,2026-02-07T00:00:00.000Z
tx_h053,sub,sm_h016,활성탄,L-2026-H12,,출고,55,kg,5,,,이력 데이터,admin,2026-02-22T00:00:00.000Z
tx_h054,sub,sm_h017,활성탄,L-2026-H13,,입고,70,kg,70,,,이력 데이터,admin,2026-03-07T00:00:00.000Z
tx_h055,sub,sm_h017,활성탄,L-2026-H13,,출고,65,kg,5,,,이력 데이터,admin,2026-03-22T00:00:00.000Z
tx_h056,sub,sm_h018,활성탄,L-2026-H14,,입고,50,kg,50,,,이력 데이터,admin,2026-04-07T00:00:00.000Z
tx_h057,sub,sm_h018,활성탄,L-2026-H14,,출고,48,kg,2,,,이력 데이터,admin,2026-04-22T00:00:00.000Z
tx_h058,sub,sm_h019,활성탄,L-2026-H15,,입고,65,kg,65,,,이력 데이터,admin,2026-05-07T00:00:00.000Z
tx_h059,sub,sm_h019,활성탄,L-2026-H15,,출고,60,kg,5,,,이력 데이터,admin,2026-05-22T00:00:00.000Z
